perceptron: 1, svm: 1, pa: 1
perceptron: 0, svm: 0, pa: 0
perceptron: 2, svm: 2, pa: 2
perceptron: 1, svm: 1, pa: 1
perceptron: 0, svm: 0, pa: 0
perceptron: 0, svm: 1, pa: 1
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 1, svm: 1, pa: 1
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 1, svm: 1, pa: 1
perceptron: 2, svm: 2, pa: 2
perceptron: 1, svm: 1, pa: 1
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 1, svm: 1, pa: 1
perceptron: 2, svm: 1, pa: 1
perceptron: 0, svm: 0, pa: 0
perceptron: 0, svm: 0, pa: 0
perceptron: 0, svm: 0, pa: 0
perceptron: 1, svm: 1, pa: 1
perceptron: 1, svm: 1, pa: 1
perceptron: 1, svm: 1, pa: 1
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 1, svm: 1, pa: 1
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 0, svm: 0, pa: 0
perceptron: 2, svm: 2, pa: 2
perceptron: 0, svm: 0, pa: 0
perceptron: 1, svm: 1, pa: 1
perceptron: 0, svm: 0, pa: 0
perceptron: 0, svm: 0, pa: 0
perceptron: 2, svm: 1, pa: 1
perceptron: 0, svm: 0, pa: 0
perceptron: 0, svm: 0, pa: 0
perceptron: 0, svm: 0, pa: 0
perceptron: 0, svm: 0, pa: 0
perceptron: 0, svm: 0, pa: 0
perceptron: 1, svm: 1, pa: 1
perceptron: 0, svm: 0, pa: 0
perceptron: 1, svm: 1, pa: 1
perceptron: 2, svm: 2, pa: 2
perceptron: 0, svm: 1, pa: 0
perceptron: 1, svm: 0, pa: 1
perceptron: 1, svm: 1, pa: 1
perceptron: 0, svm: 0, pa: 0
perceptron: 2, svm: 2, pa: 2
perceptron: 1, svm: 1, pa: 1
perceptron: 1, svm: 1, pa: 1
perceptron: 0, svm: 0, pa: 0
perceptron: 1, svm: 1, pa: 1
perceptron: 1, svm: 1, pa: 1
perceptron: 1, svm: 1, pa: 1
perceptron: 1, svm: 1, pa: 1
perceptron: 0, svm: 0, pa: 0
perceptron: 1, svm: 1, pa: 1
perceptron: 0, svm: 0, pa: 0
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 1, svm: 1, pa: 1
perceptron: 0, svm: 0, pa: 0
perceptron: 2, svm: 2, pa: 2
perceptron: 0, svm: 0, pa: 0
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 1, svm: 1, pa: 1
perceptron: 1, svm: 1, pa: 1
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 1, pa: 1
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 1, svm: 1, pa: 1
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 2, svm: 2, pa: 2
perceptron: 1, svm: 1, pa: 1
perceptron: 1, svm: 2, pa: 1
perceptron: 0, svm: 0, pa: 0
